Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,FoodCourt_missing,ShoppingMall_missing,Spa_missing,VRDeck_missing,ShoppingMall_squared,FoodCourt_cubed,VRDeck_cubed,RoomService_cubed,Spa_cubed,RoomService*FoodCourt,Age*Age,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_missing_value,CryoSleep_False,CryoSleep_True,CryoSleep_missing_value,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_missing_value,VIP_False,VIP_True,VIP_missing_value
39.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,False,True,False,False,True,False,False,False,False,True,False,True,False,False
24.0,109.0,9.0,25.0,549.0,44.0,True,0.0,0.0,0.0,0.0,625.0,729.0,85184.0,1295029.0,165469149.0,981.0,576.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
58.0,43.0,3576.0,0.0,6715.0,49.0,False,0.0,0.0,0.0,0.0,0.0,45729086976.0,117649.0,79507.0,302787575875.0,153768.0,3364.0,False,True,False,False,True,False,False,False,False,True,False,False,True,False
33.0,0.0,1283.0,371.0,3329.0,193.0,False,0.0,0.0,0.0,0.0,137641.0,2111932187.0,7189057.0,0.0,36892780289.0,0.0,1089.0,False,True,False,False,True,False,False,False,False,True,False,True,False,False
16.0,303.0,70.0,151.0,565.0,2.0,True,0.0,0.0,0.0,0.0,22801.0,343000.0,8.0,27818127.0,180362125.0,21210.0,256.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
44.0,0.0,483.0,0.0,291.0,0.0,True,0.0,0.0,0.0,0.0,0.0,112678587.0,0.0,0.0,24642171.0,0.0,1936.0,True,False,False,False,True,False,False,False,True,False,False,True,False,False
26.0,42.0,1539.0,3.0,0.0,0.0,True,0.0,0.0,0.0,0.0,9.0,3645153819.0,0.0,74088.0,0.0,64638.0,676.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
28.0,0.0,0.0,0.0,0.0,304.8547912992357,True,0.0,0.0,0.0,1.0,0.0,0.0,28332120.172066003,0.0,0.0,0.0,784.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False
35.0,0.0,785.0,17.0,216.0,0.0,True,0.0,0.0,0.0,0.0,289.0,483736625.0,0.0,0.0,10077696.0,0.0,1225.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
14.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,False,True,False,False,False,True,False,True,False,False,False,True,False,False
34.0,0.0,0.0,173.72916912197996,0.0,0.0,True,0.0,1.0,0.0,0.0,30181.824203813518,0.0,0.0,0.0,0.0,0.0,1156.0,False,True,False,False,False,True,False,False,False,True,False,True,False,False
45.0,39.0,7295.0,589.0,110.0,124.0,True,0.0,0.0,0.0,0.0,346921.0,388218197375.0,1906624.0,59319.0,1331000.0,284505.0,2025.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False
32.0,73.0,0.0,1123.0,0.0,113.0,True,0.0,0.0,0.0,0.0,1261129.0,0.0,1442897.0,389017.0,0.0,0.0,1024.0,False,False,True,False,True,False,False,False,False,True,False,True,False,False
48.0,719.0,1.0,65.0,0.0,24.0,False,0.0,0.0,0.0,0.0,4225.0,1.0,13824.0,371694959.0,0.0,719.0,2304.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
28.0,8.0,974.0,12.0,2.0,7.0,True,0.0,0.0,0.0,0.0,144.0,924010424.0,343.0,512.0,8.0,7792.0,784.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
31.0,32.0,0.0,876.0,0.0,0.0,False,0.0,0.0,0.0,0.0,767376.0,0.0,0.0,32768.0,0.0,0.0,961.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False
27.0,1286.0,122.0,173.72916912197996,0.0,0.0,False,0.0,1.0,0.0,0.0,30181.824203813518,1815848.0,0.0,2126781656.0,0.0,156892.0,729.0,False,False,True,False,True,False,False,True,False,False,False,True,False,False
24.0,0.0,1.0,0.0,0.0,637.0,False,0.0,0.0,0.0,0.0,0.0,1.0,258474853.0,0.0,0.0,0.0,576.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False
