crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv,age_missing,dis_missing,rad_missing,tax_missing,ptratio_missing,zn_squared,indus_squared,chas_squared,nox_squared,rm_squared,indus_cubed,chas_cubed,indus_log,nox_log,zn*age_m,indus*medv,age*lstat,age*medv,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv,age_missing,rm_age,dis_rad,age_group,dis_group,rad_group
0.00632,18.0,2.31,0.06639004149377593,0.538,6.575,68.13290870488323,4.09,1.0,296.0,15.3,396.9,4.98,24.0,1.0,0.0,0.0,0.0,0.0,324.0,5.3361,0.00440763760954529,0.28944400000000003,43.230625,12.326391000000001,0.0002926232437872392,0.8372475245337022,-0.6198967188203526,18.0,55.44,339.3018853503185,1635.1898089171978,,,,,,,,,,,,,,,,,,,,
0.02731,0.0,7.07,0.0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,12.749075975359343,21.6,0.0,0.0,0.0,0.0,0.0,0.0,49.9849,0.0,0.21996099999999996,41.229241,353.39324300000004,0.0,1.9558604799084813,-0.7571525105358577,0.0,152.71200000000002,1005.9020944558522,1704.2400000000002,0.02731,0.0,7.07,0.0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,12.749075975359343,21.6,0.0,506.61690000000004,9.9342,3.0,1.0,0.0
0.02729,0.0,7.07,0.0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,356.7165560165975,4.03,34.7,0.0,0.0,0.0,0.0,0.0,0.0,49.9849,0.0,0.21996099999999996,51.624224999999996,353.39324300000004,0.0,1.9558604799084813,-0.7571525105358577,0.0,245.32900000000004,246.23300000000003,2120.17,0.02729,0.0,7.07,0.0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,356.7165560165975,4.03,34.7,0.0,439.0035,9.9342,2.0,1.0,0.0
0.03237,0.0,2.18,0.0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,12.749075975359343,33.4,0.0,0.0,0.0,0.0,0.0,0.0,4.752400000000001,0.0,0.209764,48.972004000000005,10.360232000000002,0.0,0.7793248768009977,-0.780886094867952,0.0,72.812,583.9076796714579,1529.7199999999998,0.03237,0.0,2.18,0.0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,12.749075975359343,33.4,0.0,320.5084,18.1866,1.0,1.0,0.0
0.06905,0.0,2.18,0.0,0.458,6.272806315789474,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2,0.0,0.0,0.0,0.0,0.0,0.0,4.752400000000001,0.0,0.209764,39.348099075408314,10.360232000000002,0.0,0.7793248768009977,-0.780886094867952,0.0,78.91600000000001,288.886,1962.0400000000002,0.06905,0.0,2.18,0.0,0.458,6.272806315789474,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2,0.0,339.9861023157895,18.1866,2.0,1.0,0.0
0.02985,0.0,2.18,0.0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7,0.0,0.0,0.0,0.0,0.0,0.0,4.752400000000001,0.0,0.209764,41.344899999999996,10.360232000000002,0.0,0.7793248768009977,-0.780886094867952,0.0,62.566,305.827,1684.69,0.02985,0.0,2.18,0.0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7,0.0,377.441,18.1866,2.0,1.0,0.0
0.08829,12.5,7.87,0.0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9,0.0,0.0,0.0,0.0,0.0,156.25,61.9369,0.0,0.27457600000000004,36.144144,487.44340300000005,0.0,2.063058062429312,-0.6462635946610948,0.0,180.22299999999998,827.838,1525.1399999999999,0.08829,12.5,7.87,0.0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9,0.0,400.39919999999995,27.802500000000002,2.0,1.0,0.0
0.14455,12.5,7.87,0.0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1,0.0,0.0,0.0,0.0,0.0,156.25,61.9369,0.0,0.27457600000000004,38.093584,487.44340300000005,0.0,2.063058062429312,-0.6462635946610948,0.0,213.27700000000002,1840.3149999999998,2604.31,0.14455,12.5,7.87,0.0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1,0.0,593.1292,29.752499999999998,3.0,1.0,0.0
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5,0.0,0.0,0.0,0.0,0.0,156.25,61.9369,0.0,0.27457600000000004,31.708161000000004,487.44340300000005,0.0,2.063058062429312,-0.6462635946610948,0.0,129.855,2993.0,1650.0,0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5,0.0,563.1,30.4105,3.0,1.0,0.0
0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9,0.0,0.0,0.0,0.0,0.0,156.25,61.9369,0.0,0.27457600000000004,36.048016,487.44340300000005,0.0,2.063058062429312,-0.6462635946610948,0.0,148.743,1468.8900000000003,1623.51,0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9,0.0,515.7436,32.9605,3.0,1.0,0.0
